file	producer_bucket	has_struct_layer	separable_cut_crease	n_struct_layers
020822_100903.pdf	adobe	Y	Y	1
020823_110439-343020.pdf	bcsi_packdesign			0
020823_122955-111691.pdf	adobe			0
020823_123000-909933.PDF	bcsi_packdesign			0
020823_145023-963341.pdf	adobe			0
020823_145901-125557.PDF	bcsi_packdesign			0
020823_160819-913581.PDF	bcsi_packdesign			0
020823_160827-803963.pdf	bcsi_packdesign			0
020823_161702-601018.PDF	bcsi_packdesign			0
020823_161711-676751.pdf	bcsi_packdesign			0
020823_162410-159099.PDF	bcsi_packdesign			0
020823_162417-964391.pdf	bcsi_packdesign			0
020823_181639-252980.pdf	other			0
020823_181705-913033.PDF	bcsi_packdesign			0
020823_181708-428093.pdf	bcsi_packdesign			0
020922_041317-212836.pdf	adobe			0
020923_113707-713778.pdf	cairo			0
021122_012911-435598.pdf	cairo			0
021122_013029-885521.pdf	adobe			0
021122_024532-902193.pdf	adobe			0
021122_025817-667373.pdf	office_print			0
021122_033327-173286.pdf	bcsi_packdesign			0
021122_033958-968557.pdf	adobe			0
021122_034009-608154.pdf	office_print			0
021122_042045-496261.pdf	adobe			0
021122_042121-582454.PDF	bcsi_packdesign			0
021122_042125-473229.pdf	adobe	Y	Y	1
021122_065746-137273.pdf	bcsi_packdesign			0
021122_065823-516589.pdf	bcsi_packdesign			0
021122_073417-145892.pdf	adobe			0
021122_073426-131125.pdf	bcsi_packdesign			0
021122_073430-337341.PDF	bcsi_packdesign			0
021122_082716-868857.pdf	adobe	Y	Y	1
021122_082950-947143.PDF	bcsi_packdesign			0
021122_083946-723869.PDF	bcsi_packdesign			0
021122_084009-929310.pdf	adobe	Y	Y	1
021122_091421-986939.pdf	adobe	Y	Y	1
021122_091604-232351.pdf	other			0
021122_100850-733868.pdf	adobe	Y	Y	1
021122_100853-893482.PDF	bcsi_packdesign			0
021222_012746-364041.pdf	office_print			0
021222_025049-142257.pdf	bcsi_packdesign			0
021222_030035-773691.PDF	bcsi_packdesign			0
021222_030039-942976.pdf	adobe	Y	Y	1
021222_030047-645218.pdf	adobe			0
021222_031042-264542.PDF	bcsi_packdesign			0
021222_031046-265712.pdf	adobe	Y	Y	1
021222_031053-307125.pdf	adobe			0
021222_033109-833633.pdf	adobe	Y		1
021222_033207-592754.PDF	bcsi_packdesign			0
021222_033210-728036.pdf	adobe	Y	Y	1
021222_033216-353082.pdf	adobe			0
021222_033314-787438.PDF	bcsi_packdesign			0
021222_033317-139877.pdf	adobe	Y	Y	1
021222_033326-277784.pdf	adobe			0
